,Nhu cầu,Tổng tiền,Diện tích,Địa chỉ,Phòng ngủ,Phòng vệ sinh,Nội thất,Pháp lý sở hữu,View,Tầng,Hot,Mã căn
56,Bán,4248000000,149.21,thủ đức,Penthouse,Penthouse,Full,None,None,20.0,False,A1-P4 / 20.04-đạt gia residence
57,Bán,4500000000,154.57,thủ đức,Penthouse,Penthouse,Full,None,Tây Nam,20.0,False,A1-P3 / 20.03-đạt gia residence
58,Bán,3600000000,140.0,thủ đức,Penthouse,Penthouse,Ko,None,None,0.0,False,A1-P8 / 20.08-đạt gia residence
59,Bán,3300000000,127.33,thủ đức,Shophouse,Shophouse,Ko,None,None,0.0,False,A3-TM09-T / 0.17-đạt gia residence
60,Thuê,15000000,160.3,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Nam,0.0,False,tm30-9 view
61,Bán,5000000000,149.73,quận 9,Shophouse,Shophouse,None,HDMB,Đông Nam,0.0,False,tm34-9 view
62,Thuê,12000000,0.0,thủ đức,Shophouse,Shophouse,None,Sổ hồng,Đông Nam,0.0,False,TM.A1.06-sunview town
63,Bán,3300000000,87.0,thủ đức,Shophouse,Shophouse,Ko,Sổ hồng,Đông Nam,0.0,False,TM.A2.07-sunview town
64,Bán,3003000000,84.0,thủ đức,Shophouse,Shophouse,None,Sổ hồng,Đông Nam,0.0,False,TM.A2.12-sunview town
65,Bán,4000000000,0.0,thủ đức,Shophouse,Shophouse,None,Sổ hồng,Đông Nam,0.0,False,TM.A2.03-sunview town
66,Bán,4292000000,0.0,thủ đức,Shophouse,Shophouse,None,Sổ hồng,Đông Nam,0.0,False,TM.A1.12-sunview town
67,Bán,4000000000,107.0,thủ đức,Shophouse,Shophouse,None,Sổ hồng,Đông Nam,0.0,False,TM.B0.01-sunview town
68,Thuê,15000000,66.33,quận 9,Shophouse,Shophouse,None,HDMB,Đông Bắc,1.0,False,B3-01-08-gia hòa art
69,Bán,3900000000,100.22,quận 9,Penthouse,Penthouse,None,HDMB,Tây Nam,18.0,False,B3-18-01-gia hòa art
70,Bán,4700000000,67.58,quận 9,Shophouse,Shophouse,Có,HDMB,Đông Nam,1.0,False,C1-01-07-gia hòa art
71,Thuê,33000000,0.0,quận 9,Shophouse,Shophouse,None,HDMB,None,1.0,False,C.01.07-safira khang điền
72,Thuê,40000000,0.0,quận 9,Shophouse,Shophouse,None,HDMB,None,1.0,False,C.01.05-safira khang điền
73,Thuê,35000000,0.0,quận 9,Shophouse,Shophouse,None,HDMB,None,1.0,False,C.01.15-safira khang điền
74,Thuê,28000000,0.0,quận 9,Shophouse,Shophouse,None,HDMB,None,1.0,False,C.01.06-safira khang điền
75,Thuê,28000000,0.0,quận 9,Shophouse,Shophouse,None,HDMB,None,1.0,False,D2.01.06-TM-safira khang điền
76,Bán,3600000000,125.49,None,Shophouse,Shophouse,Ko,HDMB,None,0.0,False,A1-TM6 / 0.03-nan
77,Bán,12209000000,330.0,thủ đức,Penthouse,Penthouse,Full,None,None,0.0,False,4S.BT 17.06-4s bình triệu
78,Bán,6973000000,260.0,thủ đức,Penthouse,Penthouse,Full,None,None,0.0,False,4S.BT 17.03-4s bình triệu
79,Bán,6879000000,230.0,thủ đức,Penthouse,Penthouse,Full,None,None,0.0,False,4S.BT 17.02-4s bình triệu
80,Thuê,13000000,59.16,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Bắc,1.0,False,B-01-17-saigon gateway
81,Thuê,17000000,50.83,quận 9,Shophouse,Shophouse,Ko,HDMB,Tây Nam,1.0,False,B-01-12b-saigon gateway
82,Bán,4500000000,50.83,quận 9,Shophouse,Shophouse,Ko,HDMB,Tây Nam,1.0,False,B-01-11-saigon gateway
83,Bán,4200000000,62.43,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Nam,1.0,False,B-01-08-saigon gateway
84,Bán,4000000000,71.0,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Nam,1.0,False,B-01-06-saigon gateway
85,Thuê,15000000,58.77,quận 9,Shophouse,Shophouse,Full,HDMB,Đông Nam,1.0,False,B-01-05-saigon gateway
86,Thuê,10000000,60.0,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Bắc,1.0,False,B-01-03-saigon gateway
87,Thuê,15000000,63.31,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Bắc,1.0,False,B-01-02-saigon gateway
88,Thuê,25000000,63.31,quận 9,Shophouse,Shophouse,Ko,HDMB,Tây Bắc,1.0,False,A-01-05-saigon gateway
89,Thuê,32000000,85.59,quận 9,Shophouse,Shophouse,None,HDMB,Tây Bắc,1.0,False,A-01-03-saigon gateway
90,Bán,4200000000,63.31,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Nam,1.0,False,A-01-01-saigon gateway
91,Bán,4700000000,63.31,quận 9,Shophouse,Shophouse,Ko,HDMB,Đông Nam,1.0,False,A-01-12-saigon gateway
92,Bán,4500000000,65.92,None,Shophouse,Shophouse,Ko,HDMB,Đông Nam,6.0,False,B-01-01-nan
93,Thuê,25000000,None,None,Shophouse,Shophouse,Ko,HDMB,Đông Nam,6.0,False,B-06-10-nan
94,Bán,3000000000,69.0,None,Shophouse,Shophouse,Ko,None,Tây Nam,None,False,A03-nan
95,Bán,6000000000,256.0,thủ đức,Penthouse,Penthouse,Full,None,None,0.0,False,A.16.03 CC4S ĐƯỜNG 17 KP3 P.HIỆP BỈNH CHÁNH Q.THỦ ĐỨC-4s bình triệu
96,Bán,7000000000,250.0,thủ đức,Penthouse,Penthouse,Ko,None,Đông Bắc,0.0,False,W1601 CC 4S  Đường 17-4s bình triệu
97,Thuê,25000000,221.0,thủ đức,Penthouse,Penthouse,Ko,None,Đông Bắc,0.0,False,E1603 CC 4S  Đường 17-4s bình triệu
98,Bán,2100000000,35.64,bình thạnh,Officetel,Officetel,Có,HDMB,Tây Bắc,None,False,WT1-OT-02.03-wilton tower
99,Thuê,12000000,35.65,bình thạnh,Officetel,Officetel,None,HDMB,Tây Bắc,None,False,WT1-OT-02.04-wilton tower
100,Thuê,11000000,35.62,bình thạnh,Officetel,Officetel,None,HDMB,Tây Bắc,None,False,WT1-OT-02.03-wilton tower
101,Bán,2100000000,35.63,bình thạnh,Officetel,Officetel,None,HDMB,Tây Bắc,None,False,WT1-OT-02.03-wilton tower
102,Bán,2500000000,None,bình thạnh,Officetel,Officetel,Full,HDMB,Tây Nam,None,False,WT1-OT-03.24-wilton tower
103,Bán,2950000000,45.0,bình thạnh,Officetel,Officetel,Full,HDMB,Tây Bắc,None,False,WT1-OT-03.14-wilton tower
104,Thuê,12000000,33.7,bình thạnh,Officetel,Officetel,Ko,HDMB,Đông Bắc,None,False,WT1-OT-03.22-wilton tower
105,Thuê,14000000,35.67,bình thạnh,Officetel,Officetel,None,HDMB,Tây Bắc,None,False,WT1-OT-02.06-wilton tower
106,Thuê,14000000,38.0,bình thạnh,Officetel,Officetel,Ko,HDMB,Đông Bắc,None,False,WT1-OT-03.20-wilton tower
107,Bán,3100000000,None,bình thạnh,Officetel,Officetel,Full,HDMB,Tây Nam,None,False,WT1-OT-03.25-wilton tower
108,Bán,7000000000,196.04,thủ đức,Penthouse,Penthouse,Ko,HDMB,Đông Nam,0.0,False,OPGB00015002-opal garden
109,Bán,4200000000,85.0,thủ đức,Shophouse,Shophouse,Ko,HDMB,None,0.0,False,OPAA01001011-opal riverside
110,Thuê,25000000,75.0,thủ đức,Shophouse,Shophouse,Ko,HDMB,Đông Bắc,0.0,False,OPAA01001008-opal riverside
111,Bán,4000000000,100.0,thủ đức,Shophouse,Shophouse,Ko,HDMB,None,0.0,False,OPAA01001012-opal riverside
112,Bán,8000000000,134.0,thủ đức,Penthouse,Penthouse,Ko,HDMB,Đông Bắc,0.0,False,OPAA01015007-opal riverside
113,Bán,5500000000,183.9,thủ đức,Penthouse,Penthouse,Ko,HDMB,Tây Bắc,0.0,False,OPAA02019004-opal riverside
114,Bán,4000000000,110.0,thủ đức,Shophouse,Shophouse,Ko,Sổ hồng,None,0.0,False,SVT.TM.A2.14-sunview town
