,Nhu cầu,Tổng tiền,Diện tích,Địa chỉ,Phòng ngủ,Phòng vệ sinh,Nội thất,Pháp lý sở hữu,View,Tầng,Hot,Mã căn
54,Thuê,11000000,73.43,quận 8,None,None,Full,HDMB,Nam,20.0,False,D20-12-Diamond Riverside
55,Bán,2800000000,87.77,quận 8,None,None,None,HDMB,Bắc,19.0,False,C19-05-Diamond Riverside
56,Bán,2350000000,73.43,quận 8,None,None,Ko,HDMB,Nam,17.0,False,B17-19-Diamond Riverside
57,Thuê,9000000,86.22,quận 8,3,2,Ko,HDMB,Nam,17.0,False,B17-12-Diamond Riverside
58,Bán,2550000000,75.27,quận 8,None,None,None,HDMB,Bắc,18.0,False,A18-01-Diamond Riverside
59,Thuê,8000000,75.27,quận 8,None,None,Ko,HDMB,Bắc,16.0,False,A16-01-Diamond Riverside
60,Thuê,8000000,73.43,quận 8,None,None,None,HDMB,Đông,16.0,False,C16-03-Diamond Riverside
61,Thuê,4000000,87.77,quận 8,None,None,None,HDMB,Nam,16.0,False,B16-18-Diamond Riverside
62,Bán,2930000000,86.22,quận 8,None,None,None,HDMB,Bắc,16.0,False,C16-21-Diamond Riverside
63,Bán,2700000000,75.27,quận 8,None,None,Có,HDMB,Bắc,12.0,False,A12-01-Diamond Riverside
64,Thuê,7000000,74.88,quận 8,None,None,None,HDMB,Bắc,12.0,False,B12-01-Diamond Riverside
65,Bán,2350000000,73.43,quận 8,None,None,None,HDMB,Nam,15.0,False,A15-11-Diamond Riverside
66,Bán,2300000000,73.43,quận 8,None,None,None,HDMB,Nam,10.0,False,C10-16-Diamond Riverside
67,Thuê,11000000,74.88,quận 8,None,None,Full,HDMB,Bắc,9.0,False,A09-08-Diamond Riverside
68,Bán,2400000000,73.43,quận 8,None,None,None,HDMB,Nam,9.0,False,D09-11-Diamond Riverside
69,Thuê,10000000,74.88,quận 8,2,2,Ko,HDMB,Bắc,10.0,False,B10-01-Diamond Riverside
70,Bán,2350000000,73.43,quận 8,None,None,Ko,HDMB,Bắc,10.0,False,B10-02-Diamond Riverside
71,Bán,3150000000,86.22,quận 8,None,None,None,HDMB,Bắc,7.0,False,C07-21-Diamond Riverside
72,Bán,2424000000,73.43,quận 8,2,2,Ko,HDMB,Bắc,8.0,False,A08-07-Diamond Riverside
73,Bán,2426000000,73.12,quận 8,None,None,Ko,HDMB,Bắc,8.0,False,D08-01-Diamond Riverside
74,Thuê,9000000,73.43,quận 8,None,None,Có,HDMB,Bắc,9.0,False,A09-02-Diamond Riverside
75,Bán,2425000000,73.43,quận 8,None,None,Ko,HDMB,Bắc,7.0,False,A07-02-Diamond Riverside
76,Bán,2668000000,73.43,quận 8,None,None,Full,HDMB,Nam,7.0,False,A07-10-Diamond Riverside
77,Thuê,10000000,86.22,quận 8,None,None,Có,HDMB,Bắc,5.0,False,C05-21-Diamond Riverside
78,Bán,2500000000,73.43,quận 8,2,2,None,HDMB,Bắc,6.0,False,B06-07-Diamond Riverside
79,Bán,7500000000,None,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,A-S02-Diamond Riverside
80,Bán,7000000000,81.0,quận 8,None,None,Có,HDMB,Bắc,2.0,False,A-S03-Diamond Riverside
81,Thuê,20000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,A-S07-Diamond Riverside
82,Thuê,20000000,82.8,quận 8,2,2,Ko,HDMB,Bắc,1.0,False,A-S06-Diamond Riverside
83,Thuê,25000000,None,quận 8,None,None,None,HDMB,Bắc,1.0,False,A-S01-Diamond Riverside
84,Thuê,30000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Nam,1.0,False,A-S15-Diamond Riverside
85,Thuê,45000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,B-S1-Diamond Riverside
86,Bán,12000000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,B-S8-Diamond Riverside
87,Thuê,40000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Tây,1.0,False,B-S16-Diamond Riverside
88,Thuê,25000000,0.0,quận 8,None,None,None,HDMB,Bắc,1.0,False,D-S03-Diamond Riverside
89,Thuê,30000000,None,quận 8,None,None,Full,HDMB,Nam,1.0,False,D-S10-Diamond Riverside
90,Bán,2839000000,68.0,None,2,2,Ko,None,Tây Bắc,0.0,False,A-05-20-Him lam phú an
91,Bán,1848000000,66.02,thủ đức,2,2,None,HDMB,Tây Nam,8.0,False,A2.08.08-4S Linh Đông
92,Bán,2300000000,56.0,thủ đức,2,2,Full,None,Tây Nam,0.0,False,XX-Tulip Tower
93,Thuê,9000000,52.45,thủ đức,Officetel,Officetel,Ko,None,Đông Bắc,3.0,False,A03.15-Lavita Charm
94,Bán,3445400000,0.0,thủ đức,None,None,None,None,None,6.0,False,C6.04-Lavita Charm
95,Bán,3100000000,0.0,None,2,2,Có,None,None,0.0,False,A14.16-LAVITA CHARM
96,Thuê,8000000,67.3,thủ đức,2,2,Ko,None,None,16.0,False,A16.12-Lavita Charm
97,Bán,3500000000,0.0,None,2,2,Ko,None,None,15.0,False,C9.15-nan
98,Thuê,7000000,45.36,thủ đức,Officetel,Officetel,Ko,None,Đông Bắc,5.0,False,A05.01-Lavita Charm
99,Thuê,9000000,73.72,bình dương,2,2,Có,HDMB,Đông Bắc,30.0,False,OPBB02030011-Opal Boulevard
100,Thuê,9000000,73.56,bình dương,2,2,Ko,HDMB,Tây Nam,33.0,False,OPBB0203312A-Opal Boulevard
101,Bán,2640000000,73.56,bình dương,2,2,None,HDMB,Tây Nam,22.0,False,OPBB0202212A-Opal Boulevard
102,Thuê,8000000,71.64,bình dương,2,2,None,HDMB,Đông Nam,19.0,False,OPBB02019002-Opal Boulevard
103,Bán,2601000000,70.91,bình dương,2,2,Ko,HDMB,Đông Nam,14.0,False,OPBB02014001-Opal Boulevard
104,Thuê,10000000,70.91,bình dương,2,2,Ko,HDMB,Đông Nam,23.0,False,OPBB02023001-Opal Boulevard
105,Bán,2572000000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,23.0,False,OPBB02023010-Opal Boulevard
106,Thuê,9000000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,0.0,False,OPBB0212A009-Opal Boulevard
107,Thuê,7500000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,28.0,False,OPBB02028009-Opal Boulevard
108,Thuê,8000000,73.77,bình dương,2,2,Ko,HDMB,Đông Bắc,34.0,False,OPBB02034008-Opal Boulevard
109,Thuê,8000000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,25.0,False,OPBB02025010-Opal Boulevard
110,Thuê,9000000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,32.0,False,OPBB02032008-Opal Boulevard
111,Thuê,8000000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,35.0,False,OPBB02035008-Opal Boulevard
112,Thuê,8000000,74.39,bình dương,2,2,None,HDMB,Tây Nam,30.0,False,OPBB02030014-Opal Boulevard
113,Thuê,6000000,74.27,bình dương,2,2,None,HDMB,Đông Bắc,15.0,False,OPBB02015012-Opal Boulevard
114,Thuê,10000000,74.39,bình dương,2,2,None,HDMB,Tây Nam,17.0,False,OPBB02017014-Opal Boulevard
115,Bán,2530000000,74.27,bình dương,2,2,None,HDMB,Đông Bắc,30.0,False,OPBB02030012-Opal Boulevard
116,Bán,2563000000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,21.0,False,OPBB02021010-Opal Boulevard
117,Thuê,8000000,74.27,bình dương,2,2,Ko,HDMB,Đông Bắc,24.0,False,OPBB02024012-Opal Boulevard
118,Bán,2620000000,74.27,bình dương,2,2,Ko,HDMB,Đông Bắc,25.0,False,OPBB02025012-Opal Boulevard
119,Bán,3221000000,87.21,bình dương,2,2,Ko,HDMB,Đông Nam,26.0,False,OPBB02026003-Opal Boulevard
120,Thuê,7500000,87.21,bình dương,2,2,None,HDMB,Đông Nam,6.0,False,OPBB02006003-Opal Boulevard
121,Thuê,13000000,77.42,bình dương,2,2,None,HDMB,Tây Bắc,35.0,False,OPBB02035006-Opal Boulevard
122,Thuê,8000000,77.42,bình dương,2,2,None,HDMB,Tây Bắc,26.0,False,OPBB02026006-Opal Boulevard
123,Thuê,8000000,76.34,bình dương,2,2,None,HDMB,Tây Bắc,25.0,False,OPBB02025005-Opal Boulevard
124,Thuê,7500000,77.42,bình dương,2,2,None,HDMB,Tây Bắc,28.0,False,OPBB02028006-Opal Boulevard
125,Thuê,9000000,76.34,bình dương,2,2,None,HDMB,Tây Bắc,27.0,False,OPBB02027005-Opal Boulevard
126,Thuê,10000000,84.93,bình dương,2,2,Có,HDMB,Tây Bắc,35.0,False,OPBB0103512A-Opal Boulevard
127,Thuê,8000000,84.93,bình dương,2,2,None,HDMB,Tây Bắc,30.0,False,OPBB01030012-Opal Boulevard
128,Thuê,8000000,75.54,bình dương,2,2,None,HDMB,Tây Nam,28.0,False,OPBB01028001-Opal Boulevard
129,Thuê,10000000,74.45,bình dương,2,2,Có,HDMB,Đông Bắc,35.0,False,OPBB01035002-Opal Boulevard
130,Thuê,8000000,74.45,bình dương,2,2,None,HDMB,Đông Bắc,24.0,False,OPBB01024002-Opal Boulevard
131,Thuê,8000000,74.45,bình dương,2,2,None,HDMB,Đông Bắc,29.0,False,OPBB01029002-Opal Boulevard
132,Thuê,20000000,73.77,bình dương,2,2,None,HDMB,Đông Bắc,19.0,False,OPBB01019003-Opal Boulevard
133,Bán,2966000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,22.0,False,OPBB01022009-Opal Boulevard
134,Thuê,12000000,85.07,bình dương,2,2,Có,HDMB,Đông Nam,16.0,False,OPBB01016009-Opal Boulevard
135,Bán,2933000000,85.03,bình dương,2,2,None,HDMB,Đông Nam,33.0,False,OPBB01033010-Opal Boulevard
136,Thuê,8000000,85.07,bình dương,2,2,Ko,HDMB,Đông Nam,30.0,False,OPBB01030007-Opal Boulevard
137,Thuê,9000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,21.0,False,OPBB01021007-Opal Boulevard
138,Bán,3035000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,8.0,False,OPBB01008008-Opal Boulevard
139,Bán,3100000000,85.03,bình dương,2,2,Ko,HDMB,Đông Nam,20.0,False,OPBB01020010-Opal Boulevard
140,Thuê,11000000,85.03,bình dương,2,2,None,HDMB,Đông Nam,18.0,False,OPBB01018010-Opal Boulevard
141,Bán,3087000000,85.03,bình dương,2,2,None,HDMB,Đông Nam,17.0,False,OPBB01017010-Opal Boulevard
142,Bán,3126000000,85.03,bình dương,2,2,Ko,HDMB,Đông Nam,23.0,False,OPBB01023010-Opal Boulevard
143,Thuê,10000000,84.93,bình dương,2,2,Ko,HDMB,Tây Bắc,28.0,False,OPBB01028012-Opal Boulevard
144,Thuê,10000000,84.93,bình dương,2,2,Ko,HDMB,Tây Bắc,28.0,False,OPBB0102812A-Opal Boulevard
145,Thuê,10000000,84.93,bình dương,2,2,None,HDMB,Tây Bắc,17.0,False,OPBB0101712A-Opal Boulevard
146,Thuê,8500000,84.93,bình dương,2,2,Ko,HDMB,Tây Bắc,32.0,False,OPBB0103212A-Opal Boulevard
147,Thuê,9000000,84.93,bình dương,2,2,Ko,HDMB,Tây Bắc,16.0,False,OPBB0101612A-Opal Boulevard
148,Bán,3092000000,84.93,bình dương,2,2,Ko,HDMB,Tây Bắc,32.0,False,OPBB01032012-Opal Boulevard
149,Thuê,17000000,84.93,bình dương,2,2,Full,HDMB,Tây Bắc,33.0,False,OPBB01033012-Opal Boulevard
150,Thuê,20000000,84.05,bình dương,Shophouse,Shophouse,None,HDMB,Đông Bắc,1.0,False,OPBB01001007-Opal Boulevard
151,Bán,2750000000,85.07,bình dương,2,2,Ko,HDMB,Đông Nam,0.0,False,OPBB0112A009-Opal Boulevard
152,Thuê,8000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,17.0,False,OPBB01017007-Opal Boulevard
153,Thuê,10000000,85.66,bình dương,2,2,Ko,HDMB,Đông Nam,14.0,False,OPBB01014006-Opal Boulevard
154,Thuê,8000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,23.0,False,OPBB01023007-Opal Boulevard
155,Bán,3034000000,85.07,bình dương,2,2,Ko,HDMB,Đông Nam,14.0,False,OPBB01014009-Opal Boulevard
156,Bán,3150000000,85.07,bình dương,2,2,Ko,HDMB,Đông Nam,20.0,False,OPBB01020009-Opal Boulevard
157,Bán,3000000000,85.07,bình dương,2,2,Ko,HDMB,Đông Nam,35.0,False,OPBB01035009-Opal Boulevard
158,Thuê,9000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,14.0,False,OPBB01014007-Opal Boulevard
159,Bán,2952000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,11.0,False,OPBB01011008-Opal Boulevard
160,Bán,3200000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,25.0,False,OPBB01025008-Opal Boulevard
161,Bán,3306000000,85.07,bình dương,2,2,Ko,HDMB,Đông Nam,29.0,False,OPBB01029008-Opal Boulevard
162,Thuê,10000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,15.0,False,OPBB01015009-Opal Boulevard
163,Bán,3357000000,85.07,bình dương,2,2,None,HDMB,Đông Nam,19.0,False,OPBB01019009-Opal Boulevard
164,Bán,2850000000,85.07,bình dương,2,2,Ko,HDMB,Đông Nam,9.0,False,OPBB01009008-Opal Boulevard
165,Thuê,12000000,99.79,bình dương,3,2,None,HDMB,Đông Bắc,14.0,False,OPBB01014004-Opal Boulevard
166,Thuê,12000000,99.79,bình dương,3,2,None,HDMB,Đông Bắc,6.0,False,OPBB01006004-Opal Boulevard
167,Thuê,10000000,98.29,bình dương,2,2,Ko,HDMB,Đông Nam,8.0,False,OPBB01008005-Opal Boulevard
168,Thuê,12000000,98.29,bình dương,2,2,None,HDMB,Đông Nam,12.0,False,OPBB01012005-Opal Boulevard
169,Thuê,10000000,89.24,bình dương,2,2,Có,HDMB,Tây Bắc,18.0,False,OPBB01018014-Opal Boulevard
170,Thuê,8000000,89.24,bình dương,2,2,Ko,HDMB,Tây Bắc,17.0,False,OPBB01017014-Opal Boulevard
171,Thuê,40000000,115.54,bình dương,Shophouse,Shophouse,None,HDMB,Đông Nam,1.0,False,OPBB01001005-Opal Boulevard
172,Thuê,10000000,98.29,bình dương,2,2,None,HDMB,Đông Nam,27.0,False,OPBB01027005-Opal Boulevard
173,Thuê,10000000,85.84,bình dương,2,2,Ko,HDMB,Tây Bắc,15.0,False,OPBB01015012-Opal Boulevard
174,Thuê,8000000,85.84,bình dương,2,2,Ko,HDMB,Tây Bắc,7.0,False,OPBB01007012-Opal Boulevard
175,Thuê,9000000,85.84,bình dương,2,2,Ko,HDMB,Tây Bắc,17.0,False,OPBB01017012-Opal Boulevard
176,Bán,2860000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,21.0,False,OPBA02021005-Opal Boulevard
177,Thuê,8000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,28.0,False,OPBA02028004-Opal Boulevard
178,Thuê,9000000,73.9,bình dương,2,2,None,HDMB,Đông Bắc,25.0,False,OPBA02025004-Opal Boulevard
179,Bán,12000000,73.9,bình dương,2,2,Full,HDMB,Đông Bắc,18.0,False,OPBA02018005-Opal Boulevard
180,Bán,2700000000,73.1,bình dương,2,2,None,HDMB,Tây Nam,7.0,False,OPBA02007001-Opal Boulevard
181,Thuê,13000000,109.3,bình dương,3,2,None,HDMB,Tây Nam,8.0,False,OPBB01008011-Opal Boulevard
182,Thuê,12000000,109.3,bình dương,3,2,Ko,HDMB,Tây Nam,21.0,False,OPBB01021011-Opal Boulevard
183,Thuê,11000000,90.53,bình dương,Shophouse,Shophouse,None,HDMB,Tây Nam,1.0,False,OPBA01001005-Opal Boulevard
184,Thuê,9000000,74.64,bình dương,2,2,Có,HDMB,Đông Bắc,25.0,False,OPBA01025008-Opal Boulevard
185,Thuê,9000000,74.64,bình dương,2,2,None,HDMB,Đông Bắc,33.0,False,OPBA01033008-Opal Boulevard
186,Thuê,8000000,74.64,bình dương,2,2,Có,HDMB,Tây Nam,31.0,False,OPBA02031008-Opal Boulevard
187,Bán,2839000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,28.0,False,OPBA02028005-Opal Boulevard
188,Bán,2868000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,23.0,False,OPBA02023004-Opal Boulevard
189,Bán,2932000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,31.0,False,OPBA02031004-Opal Boulevard
190,Bán,2780000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,25.0,False,OPBA02025005-Opal Boulevard
191,Thuê,8000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,9.0,False,OPBA02009005-Opal Boulevard
192,Thuê,9000000,73.9,bình dương,2,2,Có,HDMB,Đông Bắc,16.0,False,OPBA02016004-Opal Boulevard
193,Bán,3033000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,33.0,False,OPBA02033005-Opal Boulevard
194,Bán,3011000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,11.0,False,OPBA02011004-Opal Boulevard
195,Bán,3020000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,20.0,False,OPBA02020005-Opal Boulevard
196,Bán,2787000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,15.0,False,OPBA02015004-Opal Boulevard
197,Bán,2692000000,73.9,bình dương,2,2,Ko,HDMB,Đông Bắc,23.0,False,OPBA02023005-Opal Boulevard
198,Bán,2809000000,79.84,bình dương,2,2,None,HDMB,Đông Bắc,10.0,False,OPBA01010001-Opal Boulevard
199,Thuê,12000000,79.84,bình dương,2,2,Có,HDMB,Đông Bắc,0.0,False,OPBA0112A001-Opal Boulevard
200,Bán,3641000000,79.84,bình dương,2,2,None,HDMB,Đông Bắc,5.0,False,OPBA01005001-Opal Boulevard
201,Bán,3200000000,75.24,bình dương,2,2,Ko,HDMB,Đông Bắc,16.0,False,OPBA02016006-Opal Boulevard
202,Thuê,8500000,79.84,bình dương,2,2,None,HDMB,Đông Bắc,35.0,False,OPBA01035001-Opal Boulevard
203,Thuê,8000000,78.71,bình dương,2,2,None,HDMB,Đông Bắc,19.0,False,OPBA01019009-Opal Boulevard
204,Thuê,8000000,78.71,bình dương,2,2,None,HDMB,Đông Bắc,28.0,False,OPBA01028009-Opal Boulevard
205,Bán,2811000000,75.24,bình dương,2,2,None,HDMB,Đông Bắc,32.0,False,OPBA02032006-Opal Boulevard
206,Thuê,8500000,78.71,bình dương,2,2,None,HDMB,Đông Bắc,27.0,False,OPBA01027009-Opal Boulevard
207,Thuê,8000000,78.71,bình dương,2,2,None,HDMB,Đông Bắc,26.0,False,OPBA01026009-Opal Boulevard
208,Thuê,9000000,75.24,bình dương,2,2,Ko,HDMB,Đông Bắc,8.0,False,OPBA02008006-Opal Boulevard
209,Thuê,9000000,75.24,bình dương,2,2,Ko,HDMB,Đông Bắc,22.0,False,OPBA02022006-Opal Boulevard
210,Thuê,9000000,74.64,bình dương,2,2,Có,HDMB,Đông Bắc,12.0,False,OPBA01012008-Opal Boulevard
211,Thuê,8000000,75.24,bình dương,2,2,None,HDMB,Đông Bắc,9.0,False,OPBA02009006-Opal Boulevard
212,Bán,3094000000,84.68,bình dương,2,2,None,HDMB,Tây Nam,15.0,False,OPBA01015004-Opal Boulevard
213,Thuê,9000000,86.72,bình dương,2,2,None,HDMB,Tây Nam,19.0,False,OPBA01019006-Opal Boulevard
214,Bán,3500000000,84.68,bình dương,2,2,None,HDMB,Tây Nam,5.0,False,OPBA01005004-Opal Boulevard
215,Bán,3301000000,84.68,bình dương,2,2,Ko,HDMB,Tây Nam,21.0,False,OPBA01021004-Opal Boulevard
216,Thuê,10000000,84.68,bình dương,2,2,Có,HDMB,Tây Nam,26.0,False,OPBA01026004-Opal Boulevard
217,Bán,3126000000,84.68,bình dương,2,2,Ko,HDMB,Tây Nam,16.0,False,OPBA01016004-Opal Boulevard
218,Thuê,9000000,84.66,bình dương,2,2,None,HDMB,Tây Nam,21.0,False,OPBA01021005-Opal Boulevard
219,Thuê,11000000,84.66,bình dương,2,2,None,HDMB,Tây Nam,20.0,False,OPBA01020005-Opal Boulevard
220,Thuê,9000000,84.66,bình dương,2,2,None,HDMB,Tây Nam,30.0,False,OPBA01030005-Opal Boulevard
221,Thuê,6000000,84.66,bình dương,2,2,None,HDMB,Tây Nam,11.0,False,OPBA01011005-Opal Boulevard
222,Thuê,8000000,81.26,bình dương,2,2,None,HDMB,Tây Nam,0.0,False,OPBA0212A009-Opal Boulevard
223,Thuê,10000000,84.66,bình dương,2,2,Có,HDMB,Tây Nam,27.0,False,OPBA01027005-Opal Boulevard
224,Thuê,11000000,100.18,bình dương,3,2,None,HDMB,Đông Bắc,32.0,False,OPBA02032007-Opal Boulevard
225,Bán,3991000000,100.18,bình dương,3,2,Ko,HDMB,Đông Bắc,12.0,False,OPBA02012007-Opal Boulevard
226,Bán,3837000000,99.41,bình dương,3,2,Ko,HDMB,Đông Bắc,17.0,False,OPBA02017003-Opal Boulevard
227,Thuê,10000000,100.18,bình dương,3,2,None,HDMB,Đông Bắc,21.0,False,OPBA02021007-Opal Boulevard
228,Bán,3890000000,99.41,bình dương,3,2,None,HDMB,Đông Bắc,4.0,False,OPBA02004003-Opal Boulevard
